reviewText,sentiment
"Not impressed, but not disappointed either.",1
Worst product ever! Avoid at all costs.,0
Absolutely loved this product! Highly recommended.,2
Exceeded my expectations in every way.,2
"Not impressed, but not disappointed either.",1
"Not impressed, but not disappointed either.",1
Exceeded my expectations in every way.,2
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
"Terrible quality, completely disappointed.",0
Fantastic quality and great value for money.,2
Worst product ever! Avoid at all costs.,0
"Very poor experience, wouldn't recommend.",0
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
Best product I have used so far!,2
Exceeded my expectations in every way.,2
"The product works as expected, nothing more.",1
Worst product ever! Avoid at all costs.,0
Not worth the price. I regret buying this.,0
"Neither good nor bad, just average.",1
"Neither good nor bad, just average.",1
Absolutely loved this product! Highly recommended.,2
"It's an okay product, nothing special.",1
"The product works as expected, nothing more.",1
Exceeded my expectations in every way.,2
"A decent product, but has room for improvement.",1
Fantastic quality and great value for money.,2
Fantastic quality and great value for money.,2
Worst product ever! Avoid at all costs.,0
Fantastic quality and great value for money.,2
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
"A decent product, but has room for improvement.",1
Not worth the price. I regret buying this.,0
Fantastic quality and great value for money.,2
"Neither good nor bad, just average.",1
"Neither good nor bad, just average.",1
Worst product ever! Avoid at all costs.,0
"Very poor experience, wouldn't recommend.",0
"Very poor experience, wouldn't recommend.",0
"Terrible quality, completely disappointed.",0
Absolutely loved this product! Highly recommended.,2
I'm extremely satisfied with this purchase.,2
"Not impressed, but not disappointed either.",1
"Terrible quality, completely disappointed.",0
"Not impressed, but not disappointed either.",1
Fantastic quality and great value for money.,2
"A decent product, but has room for improvement.",1
Fantastic quality and great value for money.,2
"Very poor experience, wouldn't recommend.",0
I'm extremely satisfied with this purchase.,2
"It's an okay product, nothing special.",1
Not worth the price. I regret buying this.,0
"It's an okay product, nothing special.",1
"The product works as expected, nothing more.",1
"Not impressed, but not disappointed either.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
Worst product ever! Avoid at all costs.,0
I'm extremely satisfied with this purchase.,2
Worst product ever! Avoid at all costs.,0
Exceeded my expectations in every way.,2
"Neither good nor bad, just average.",1
Best product I have used so far!,2
Absolutely loved this product! Highly recommended.,2
"Not impressed, but not disappointed either.",1
Best product I have used so far!,2
"The product works as expected, nothing more.",1
"A decent product, but has room for improvement.",1
Worst product ever! Avoid at all costs.,0
"It's an okay product, nothing special.",1
I'm extremely satisfied with this purchase.,2
"The product works as expected, nothing more.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
Fantastic quality and great value for money.,2
"Neither good nor bad, just average.",1
Exceeded my expectations in every way.,2
Exceeded my expectations in every way.,2
I'm extremely satisfied with this purchase.,2
Absolutely loved this product! Highly recommended.,2
"Neither good nor bad, just average.",1
Best product I have used so far!,2
Fantastic quality and great value for money.,2
Absolutely loved this product! Highly recommended.,2
Fantastic quality and great value for money.,2
"The product works as expected, nothing more.",1
Absolutely loved this product! Highly recommended.,2
Absolutely loved this product! Highly recommended.,2
Not worth the price. I regret buying this.,0
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
Absolutely loved this product! Highly recommended.,2
"Not impressed, but not disappointed either.",1
"Very poor experience, wouldn't recommend.",0
"Neither good nor bad, just average.",1
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
"Terrible quality, completely disappointed.",0
"It's an okay product, nothing special.",1
Best product I have used so far!,2
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
I'm extremely satisfied with this purchase.,2
"Not impressed, but not disappointed either.",1
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
"A decent product, but has room for improvement.",1
"Not impressed, but not disappointed either.",1
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
"Neither good nor bad, just average.",1
"A decent product, but has room for improvement.",1
"A decent product, but has room for improvement.",1
I'm extremely satisfied with this purchase.,2
"A decent product, but has room for improvement.",1
"Neither good nor bad, just average.",1
"A decent product, but has room for improvement.",1
Fantastic quality and great value for money.,2
"The product works as expected, nothing more.",1
"Not impressed, but not disappointed either.",1
Best product I have used so far!,2
"Terrible quality, completely disappointed.",0
"Neither good nor bad, just average.",1
"Not impressed, but not disappointed either.",1
"Not impressed, but not disappointed either.",1
Absolutely loved this product! Highly recommended.,2
"A decent product, but has room for improvement.",1
"A decent product, but has room for improvement.",1
I'm extremely satisfied with this purchase.,2
"The product works as expected, nothing more.",1
Broke after a few days of use. Waste of money.,0
Fantastic quality and great value for money.,2
Broke after a few days of use. Waste of money.,0
Absolutely loved this product! Highly recommended.,2
"A decent product, but has room for improvement.",1
"The product works as expected, nothing more.",1
Best product I have used so far!,2
Not worth the price. I regret buying this.,0
Not worth the price. I regret buying this.,0
"Neither good nor bad, just average.",1
"Very poor experience, wouldn't recommend.",0
Broke after a few days of use. Waste of money.,0
"The product works as expected, nothing more.",1
"The product works as expected, nothing more.",1
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
Exceeded my expectations in every way.,2
"Not impressed, but not disappointed either.",1
"A decent product, but has room for improvement.",1
Fantastic quality and great value for money.,2
"Not impressed, but not disappointed either.",1
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
I'm extremely satisfied with this purchase.,2
"The product works as expected, nothing more.",1
"The product works as expected, nothing more.",1
"A decent product, but has room for improvement.",1
"A decent product, but has room for improvement.",1
Exceeded my expectations in every way.,2
"Not impressed, but not disappointed either.",1
"Terrible quality, completely disappointed.",0
Absolutely loved this product! Highly recommended.,2
"Terrible quality, completely disappointed.",0
Absolutely loved this product! Highly recommended.,2
